,client_id,job_id,workflow_id,task_id,drop_time,create_time,arrival_time,slo,deadline
0,2,10131,8,4,4487.4390619871,4165.19999999999,0.0,321,4486.19999999999
1,0,133,6,4,4574.399999999988,4323.599999999989,0.0,249,4572.599999999989
2,0,134,6,3,4597.999999999987,4343.799999999989,4546.432706757933,249,4592.799999999989
3,1,5137,7,4,4639.418620684444,4358.399999999989,0.0,281,4639.399999999989
4,2,10136,8,4,4648.591033942778,4325.199999999989,0.0,321,4646.199999999989
5,0,136,6,3,4666.626035800953,4414.199999999989,0.0,249,4663.199999999989
6,1,5138,7,3,4679.377313341278,4397.5999999999885,0.0,281,4678.5999999999885
7,2,10139,8,4,4746.986176254893,4421.799999999988,0.0,321,4742.799999999988
8,1,5140,7,4,4746.986176254893,4463.999999999988,0.0,281,4744.999999999988
9,0,139,6,3,4753.51820310018,4502.799999999988,4712.796621195982,249,4751.799999999988
10,1,5141,7,4,4781.886808540904,4499.199999999988,0.0,281,4780.199999999988
11,2,10141,8,4,4811.254119053328,4489.199999999988,0.0,321,4810.199999999988
12,1,5142,7,4,4815.697420992208,4532.399999999988,0.0,281,4813.399999999988
13,2,10143,8,4,4871.799999999986,4550.599999999988,0.0,321,4871.599999999988
14,0,143,6,4,4889.03855727842,4633.599999999988,0.0,249,4882.599999999988
15,2,10144,8,4,4900.0811725732365,4574.799999999987,0.0,321,4895.799999999987
16,0,144,6,4,4908.599999999986,4656.799999999987,0.0,249,4905.799999999987
17,1,5146,7,3,4933.042243367725,4648.199999999987,4879.585061530206,281,4929.199999999987
18,0,146,6,4,4978.337156201184,4729.199999999987,0.0,249,4978.199999999987
19,2,10147,8,4,4991.757153773134,4663.399999999987,0.0,321,4984.399999999987
20,0,147,6,4,5011.547701861919,4760.399999999987,0.0,249,5009.399999999987
21,0,150,6,4,5105.627968262084,4853.999999999986,0.0,249,5102.999999999986
22,0,154,6,4,5231.033116816698,4976.799999999986,0.0,249,5225.799999999986
23,2,10155,8,4,5241.656060060851,4919.999999999985,0.0,321,5240.999999999985
24,0,246,6,3,8125.008872081965,7869.199999999969,8091.900762652969,249,8118.199999999969
25,1,5250,7,4,8196.599999999968,7913.999999999968,0.0,281,8194.999999999967
26,2,10247,8,4,8205.537150635244,7881.399999999969,0.0,321,8202.399999999969
27,0,249,6,3,8213.700542825756,7960.799999999968,8148.511934651849,249,8209.799999999968
28,2,10254,8,4,8419.060543083493,8092.799999999967,0.0,321,8413.799999999967
29,2,10258,8,4,8531.960696987153,8210.599999999966,0.0,321,8531.599999999966
30,0,412,6,3,13333.17071866895,13082.40000000008,13274.647700628635,249,13331.40000000008
31,0,416,6,4,13448.373188431164,13196.200000000083,0.0,249,13445.200000000083
32,0,576,6,4,18639.188085317626,18389.200000000197,0.0,249,18638.200000000197
33,0,578,6,3,18712.047100417698,18462.6000000002,0.0,249,18711.6000000002
34,1,5577,7,4,18722.423885602697,18439.400000000198,0.0,281,18720.400000000198
35,2,10581,8,4,18803.239717109416,18479.2000000002,0.0,321,18800.2000000002
36,0,581,6,3,18822.399243896933,18572.2000000002,0.0,249,18821.2000000002
37,0,584,6,3,18928.452623817775,18673.800000000203,18879.057019919637,249,18922.800000000203
38,2,10585,8,4,18949.20000000021,18626.000000000204,0.0,321,18947.000000000204
39,1,5585,7,4,18975.330707330395,18684.000000000204,0.0,281,18965.000000000204
40,2,10586,8,4,18975.330707330395,18650.200000000204,0.0,321,18971.200000000204
