,client_id,workflow_id,job_id,task_id,worker_id,worker_arrival_time,exec_start_time,exec_end_time,deadline
44,2,8,2001,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,130.53700506992047,130.53700506992047,154.86569719103457,217
45,1,7,1004,0,4477df26-a9e1-4942-86b6-f9bc38e48340,146.0,146.0,156.6696460136042,286
46,2,8,2004,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,145.0,145.0,163.72222561032646,305
47,1,7,1004,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,156.6696460136042,156.6696460136042,164.11752532693913,286
48,1,7,1002,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,149.85546739411117,149.85546739411117,164.5346929021735,225
49,0,6,2,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf,144.2327533333199,144.2327533333199,170.51365127571898,213
50,2,8,2004,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,163.72222561032646,164.11752532693913,171.38415611470296,305
51,2,8,2002,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,148.27651305032973,148.27651305032973,172.4560394838995,250
52,0,6,2,4,aa421654-f71c-474c-b528-55d93c8d2a7e,170.51365127571898,170.51365127571898,172.66863012613763,213
53,2,8,2003,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,144.08958875278455,144.08958875278455,173.80768795632952,279
54,1,7,1003,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,123.98126510236284,143.41507572506265,175.26800061530122,255
55,0,6,4,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,159.0,171.38415611470296,178.54928759769277,283
56,0,6,3,1,f274c22f-f087-4578-be11-1a63c308cc36,122.0,149.85546739411117,182.55668885755443,246
57,2,8,2003,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,173.80768795632952,173.80768795632952,188.56683222926986,279
58,1,7,1002,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,164.5346929021735,164.5346929021735,188.8067745069984,225
59,1,7,1005,0,4477df26-a9e1-4942-86b6-f9bc38e48340,179.0,179.0,189.2213801194359,319
60,0,6,5,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,184.0,184.0,191.4167222157968,308
61,2,8,2005,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,173.0,173.0,194.27793841776491,333
62,1,7,1003,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,175.26800061530122,188.56683222926986,195.93075212883775,255
63,1,7,1005,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,189.2213801194359,191.4167222157968,198.796639898575,319
64,1,7,1004,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,156.6696460136042,173.80768795632952,204.97539004458412,286
65,0,6,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,182.55668885755443,195.93075212883775,205.63911252614656,246
66,2,8,2005,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,194.27793841776491,198.796639898575,206.03656317056397,333
