,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,0.0,0.0,0.08704000000082504,0.02267493224998648
1,6.0,1.0,0.0,0.0,0.5407999999998201,0.4166881195677093
2,6.0,2.0,0.014400000000011914,0.15118034096909994,1.6767999999993868,0.34960546904203726
3,6.0,3.0,0.0,0.0,2.131199999999548,0.9865088746485448
4,6.0,4.0,0.0,0.0,2.409766022381116,0.1528621911255111
5,7.0,0.0,0.0,0.0,0.0878400000008458,0.023797073363942666
6,7.0,1.0,0.0,0.0,0.5703999999998366,0.4023004917789539
7,7.0,2.0,0.008000000000007276,0.11291035713685409,1.6607999999993712,0.31432811226849405
8,7.0,3.0,0.0,0.0,2.1519999999995765,0.9550959157115748
9,7.0,4.0,0.0,0.0,2.42419354838776,0.23986910919204593
10,8.0,0.0,0.0,0.0,0.08800000000083447,0.024012009007256432
11,8.0,1.0,0.0,0.0,0.5159999999998431,0.4257760975972906
12,8.0,2.0,0.011200000000011642,0.1334630000127728,1.679999999999375,0.35615564974737374
13,8.0,3.0,0.0,0.0,2.151999999999583,0.9736960943152487
14,8.0,4.0,0.002412060301505344,0.0760851149937198,2.4337349397596855,0.28267655757961985
