,client_id,job_id,workflow_id,task_id,drop_time,create_time,arrival_time,slo,deadline
3042,0,1466,6,3,41032.2139385949,40903.19999999975,0.0,124,41027.19999999975
3043,2,11467,8,4,41033.86392621354,40873.39999999975,0.0,160,41033.39999999975
3044,1,6457,7,3,41044.335630383066,40903.39999999976,0.0,140,41043.39999999976
3045,0,1468,6,3,41095.62370777585,40969.599999999744,0.0,124,41093.599999999744
3046,0,1469,6,3,41114.375238387904,40988.79999999974,0.0,124,41112.79999999974
3047,1,6460,7,4,41134.17509306086,40991.99999999975,0.0,140,41131.99999999975
3048,0,1472,6,3,41206.502260198824,41080.39999999973,0.0,124,41204.39999999973
3049,2,11475,8,4,41240.599999999715,41079.99999999972,0.0,160,41239.99999999972
3050,0,1475,6,3,41299.12205992235,41170.99999999972,0.0,124,41294.99999999972
3051,1,6465,7,3,41310.525093855475,41168.99999999974,0.0,140,41308.99999999974
3052,2,11478,8,4,41329.9857399118,41168.599999999715,0.0,160,41328.599999999715
3053,0,1476,6,4,41329.9857399118,41202.19999999972,0.0,124,41326.19999999972
3054,0,1477,6,3,41363.85366345573,41233.39999999972,0.0,124,41357.39999999972
3055,1,6467,7,4,41365.787562073514,41224.39999999973,0.0,140,41364.39999999973
3056,1,6468,7,3,41391.10300149348,41241.59999999973,0.0,140,41381.59999999973
3057,0,1478,6,3,41391.10300149348,41259.599999999715,0.0,124,41383.599999999715
3058,0,1479,6,3,41411.99999999971,41286.79999999971,0.0,124,41410.79999999971
3059,1,6470,7,4,41433.20226982933,41292.99999999972,0.0,140,41432.99999999972
3060,2,11482,8,4,41444.686832031504,41284.3999999997,0.0,160,41444.3999999997
3061,1,6471,7,4,41455.3806109952,41314.19999999972,0.0,140,41454.19999999972
3062,0,1481,6,2,41474.24619929128,41350.199999999706,41452.094422795875,124,41474.199999999706
3063,2,11483,8,4,41482.53518145279,41317.5999999997,0.0,160,41477.5999999997
3064,1,6472,7,3,41490.61365715519,41346.39999999972,0.0,140,41486.39999999972
3065,0,1484,6,3,41546.186986649176,41418.7999999997,0.0,124,41542.7999999997
3066,2,11486,8,4,41560.09320669546,41399.19999999969,0.0,160,41559.19999999969
3067,1,6476,7,4,41611.40907323652,41470.199999999706,0.0,140,41610.199999999706
3068,0,1487,6,3,41624.39999999969,41500.39999999969,0.0,124,41624.39999999969
3069,1,6477,7,3,41636.92798082059,41496.3999999997,0.0,140,41636.3999999997
3070,0,1489,6,3,41688.03236104995,41563.79999999968,0.0,124,41687.79999999968
3071,1,6480,7,4,41728.71077079704,41587.999999999694,0.0,140,41727.999999999694
3072,2,11492,8,4,41731.15823202212,41569.399999999674,0.0,160,41729.399999999674
3073,0,1491,6,3,41746.19999999968,41620.19999999968,0.0,124,41744.19999999968
3074,1,6481,7,4,41757.615490679134,41617.19999999969,0.0,140,41757.19999999969
3075,0,1493,6,4,41793.59999999967,41669.59999999967,0.0,124,41793.59999999967
3076,0,1494,6,3,41817.08983321463,41692.79999999967,0.0,124,41816.79999999967
3077,1,6483,7,3,41818.68983321463,41678.599999999686,0.0,140,41818.599999999686
3078,2,11497,8,4,41858.19999999966,41697.39999999966,0.0,160,41857.39999999966
3079,0,1497,6,2,41900.81328707018,41776.39999999966,0.0,124,41900.39999999966
3080,1,6486,7,2,41905.841510156155,41765.19999999968,0.0,140,41905.19999999968
3081,2,11499,8,3,41954.8898063761,41756.799999999654,0.0,160,41916.799999999654
3082,1,6487,7,3,41954.8898063761,41786.399999999674,0.0,140,41926.399999999674
3083,0,1499,6,3,41954.8898063761,41828.799999999654,0.0,124,41952.799999999654
3084,1,6489,7,3,41975.22595627383,41826.79999999967,0.0,140,41966.79999999967
3085,0,1500,6,2,41981.999999999636,41856.99999999965,0.0,124,41980.99999999965
3086,1,6490,7,3,41993.90522504635,41850.999999999665,0.0,140,41990.999999999665
3087,2,11502,8,4,42006.79070787136,41845.399999999645,0.0,160,42005.399999999645
3088,0,1501,6,3,42007.26759888751,41883.19999999965,0.0,124,42007.19999999965
3089,1,6491,7,4,42027.4733633724,41885.19999999966,0.0,140,42025.19999999966
3090,2,11503,8,4,42033.92719568182,41873.59999999964,0.0,160,42033.59999999964
3091,0,1502,6,4,42040.856645518,41916.399999999645,0.0,124,42040.399999999645
