,worker_id,instance_id,model_id,idle_time_s,idle_percent_worker_lifetime,mean_batch_size,std_batch_size
0,41c448c7-25b5-4740-944a-836118ddcc25,4564a8e0-2ed4-4de4-8c92-f8d7129a094d,1,336396.10182786285,53.761094031208714,1.0,0.0
1,7eba93e2-779c-448f-a735-4f078c1598a1,c7bc6241-56bd-405c-be0d-817b532b5b61,16,520956.3907608667,83.2565697333366,1.0,0.0
2,43d8adca-f0ed-498d-878a-e5f249914a9d,b910c1ba-fc8e-4989-8fea-e2c86c5e9633,1,479421.01334178774,76.618599439045,1.0,0.0
3,f82a59f2-209a-464a-ad5d-3b0b2be2525c,12401b04-be74-4415-a968-85aa7ce03bdd,15,573359.6594978294,91.63139049612941,1.0,0.0
4,e4ac2c36-8172-4d6f-a8ab-afa323c5a36c,3c3708f6-505a-43d4-b898-a0d6cf6ca3fc,14,613046.5535368972,97.97394568820097,1.0,0.0
5,742424d3-8d5d-4b67-ba1d-adca6ee715e4,4d6ec6af-ea82-4a4c-808f-712c84c8d9db,2,510377.7109571457,81.56593956085942,1.0,0.0
6,742424d3-8d5d-4b67-ba1d-adca6ee715e4,48a40629-e23a-4ac1-8cf2-3c20931bfa15,0,514311.70179541083,82.194649733851,1.0,0.0
7,ac2ec692-d4b4-4aa2-9829-c06cc8df3a18,0a0e42e0-9877-4b6e-8ab3-7370e620b281,3,517744.4473651284,82.7432534672356,1.0,0.0
8,8364c68b-0ab0-49c4-8a6c-75b3809abf3d,dff4cb4b-85c4-405e-8b53-67c851aceecc,1,591822.9314314793,94.58209561178101,1.0,0.0
9,fdee6dec-e5b1-49d0-8824-fd26bcb57fe2,fd036605-73a6-483d-9a8a-52a271f5adcd,3,607501.315273881,97.08773424263546,1.0,0.0
10,6ef1797f-53b5-4465-8d32-7e5fc13485eb,07ed5ea6-2a55-463f-b885-093d0035da7b,3,367744.38300956285,58.77101502365987,1.0,0.0
