,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,1.2808223298396666,2.128822744123608,0.0,0.0
1,6.0,1.0,0.07981277512617271,0.547075712969268,0.0,0.0
2,6.0,2.0,1.898158562995441,3.2743011312577406,1.5999999999992274,8.479195884322929e-13
3,6.0,3.0,0.11068933445281527,0.7735923806093561,1.5999999999992278,8.483083487572254e-13
4,6.0,4.0,0.0,0.0,2.400000000000774,8.478461324029363e-13
5,7.0,0.0,1.0873027845245415,2.003235677617601,0.0,0.0
6,7.0,1.0,0.0761419725457763,0.5123061132107398,0.0,0.0
7,7.0,2.0,1.9647538756866414,3.403369847406744,1.599999999999214,8.437052204308805e-13
8,7.0,3.0,0.1447344374695572,0.9309582135439033,1.599999999999212,8.43211237248082e-13
9,7.0,4.0,0.00321024116474382,0.08806330937654974,2.40000000000079,8.425841718231471e-13
10,8.0,0.0,1.153690405872081,2.0399011816409383,0.0,0.0
11,8.0,1.0,0.07028724803775935,0.5001048709423389,0.0,0.0
12,8.0,2.0,1.7494341360459806,3.271385096365992,1.5999999999992183,8.45329750218319e-13
13,8.0,3.0,0.15719480749349407,0.9845975932012396,1.599999999999218,8.452290640499995e-13
14,8.0,4.0,0.09308913479074794,0.7925229165600726,2.4000000000007833,8.452402422108391e-13
