,client_id,job_id,workflow_id,task_id,drop_time,create_time,arrival_time,slo,deadline
0,0,59,6,0,2287.0000000000005,2279.8000000000006,2287.0000000000005,124,2403.8000000000006
1,0,67,6,0,2593.599999999999,2586.399999999999,2593.599999999999,124,2710.399999999999
2,2,10097,8,0,3812.599999999993,3805.3999999999933,3812.599999999993,160,3965.3999999999933
3,1,5130,7,0,4924.199999999988,4916.999999999988,4924.199999999988,140,5056.999999999988
4,2,10134,8,0,5186.999999999986,5179.7999999999865,5186.999999999986,160,5339.7999999999865
5,1,5138,7,0,5254.7999999999865,5247.599999999987,5254.7999999999865,140,5387.599999999987
6,0,147,6,0,5711.599999999985,5704.399999999985,5711.599999999985,124,5828.399999999985
7,1,5154,7,0,5845.999999999984,5838.799999999984,5845.999999999984,140,5978.799999999984
8,1,5178,7,0,6750.799999999979,6743.599999999979,6750.799999999979,140,6883.599999999979
9,2,10178,8,0,6901.799999999978,6894.5999999999785,6901.799999999978,160,7054.5999999999785
10,2,10179,8,0,6938.999999999978,6931.799999999978,6938.999999999978,160,7091.799999999978
11,2,10197,8,0,7640.599999999975,7633.399999999975,7640.599999999975,160,7793.399999999975
12,1,5207,7,0,7839.599999999974,7832.399999999974,7839.599999999974,140,7972.399999999974
13,1,5210,7,0,7956.199999999973,7948.999999999974,7956.199999999973,140,8088.999999999974
14,2,10205,8,0,7970.199999999973,7962.999999999974,7970.199999999973,160,8122.999999999974
15,0,221,6,0,8518.39999999998,8511.199999999979,8518.39999999998,124,8635.199999999979
16,1,5226,7,0,8574.39999999998,8567.199999999979,8574.39999999998,140,8707.199999999979
17,1,5239,7,0,9047.999999999989,9040.799999999988,9047.999999999989,140,9180.799999999988
18,0,261,6,0,9973.400000000009,9966.200000000008,9973.400000000009,124,10090.200000000008
19,1,5271,7,0,10267.400000000012,10260.200000000012,10267.400000000012,140,10400.200000000012
20,1,5272,7,0,10300.600000000013,10293.400000000012,10300.600000000013,140,10433.400000000012
21,0,279,6,0,10630.000000000022,10622.800000000021,10630.000000000022,124,10746.800000000021
22,2,10288,8,0,11057.800000000028,11050.600000000028,11057.800000000028,160,11210.600000000028
23,1,5306,7,0,11589.400000000038,11582.200000000037,11589.400000000038,140,11722.200000000037
24,0,305,6,0,11590.20000000004,11583.00000000004,11590.20000000004,124,11707.00000000004
25,0,327,6,0,12436.600000000057,12429.400000000056,12436.600000000057,124,12553.400000000056
26,1,5334,7,0,12665.000000000058,12657.800000000057,12665.000000000058,140,12797.800000000057
27,2,10337,8,0,12978.600000000064,12971.400000000063,12978.600000000064,160,13131.400000000063
28,1,5356,7,0,13535.400000000074,13528.200000000073,13535.400000000074,140,13668.200000000073
29,0,363,6,0,13782.800000000083,13775.600000000082,13782.800000000083,124,13899.600000000082
30,0,370,6,0,14073.200000000088,14066.000000000087,14073.200000000088,124,14190.000000000087
31,0,372,6,0,14144.60000000009,14137.400000000089,14144.60000000009,124,14261.400000000089
32,0,377,6,0,14322.600000000093,14315.400000000092,14322.600000000093,124,14439.400000000092
33,2,10374,8,0,14344.000000000091,14336.80000000009,14344.000000000091,160,14496.80000000009
34,0,379,6,0,14402.000000000095,14394.800000000094,14402.000000000095,124,14518.800000000094
35,1,5395,7,0,15078.200000000103,15071.000000000102,15078.200000000103,140,15211.000000000102
