,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,0.0,0.0,0.09424000000053664,0.030616331585296024
1,6.0,1.0,0.0,0.0,1.7360000000000508,1.5670480655167678
2,6.0,2.0,0.19760191846521805,0.6974444896411085,4.602398081534788,1.6578074601215729
3,6.0,3.0,0.0,0.0,5.04226289517465,2.1298851778372816
4,6.0,4.0,0.0,0.0,2.4285714285719315,0.2610762747065361
5,7.0,0.0,0.0,0.0,0.09352000000055713,0.029995154763572916
6,7.0,1.0,0.0,0.0,1.733600000000016,1.5808890695587934
7,7.0,2.0,0.18710382513660795,0.6787553169125544,4.677595628415284,1.645433542592498
8,7.0,3.0,0.0,0.0,5.035883171070883,2.1097446723317534
9,7.0,4.0,0.0,0.0,2.4231884057976045,0.23533384314403702
10,8.0,0.0,0.0,0.0,0.09368000000051888,0.03013578878589372
11,8.0,1.0,0.0,0.0,1.73760000000004,1.5783147079456439
12,8.0,2.0,0.2264462809917177,0.7449262889810195,4.576859504132212,1.7097208698605355
13,8.0,3.0,0.0,0.0,4.868837209302255,2.2251616564234284
14,8.0,4.0,0.0,0.0,2.4911392405067443,0.4594516741375956
