,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,0.0,0.0,0.08221343873593878,0.013147586281478036
1,6.0,1.0,0.0,0.0,0.6830039525687449,0.2832417008410422
2,6.0,2.0,0.0,0.0,1.599999999999449,8.70803446917679e-13
3,6.0,3.0,0.0,0.0,1.6505928853749796,0.28053528105667896
4,6.0,4.0,0.0,0.0,2.4000000000005564,8.72164964092597e-13
5,7.0,0.0,0.0,0.0,0.08166666666730836,0.01144597977278657
6,7.0,1.0,0.0,0.0,0.7111111111106658,0.25185337006958325
7,7.0,2.0,0.0,0.0,1.599999999999594,8.610944494649395e-13
8,7.0,3.0,0.0,0.0,1.6444444444440454,0.26339455910669024
9,7.0,4.0,0.0,0.0,2.400000000000406,8.611421339667444e-13
10,8.0,0.0,0.0,0.0,0.08093896713678819,0.008626145365711373
11,8.0,1.0,0.0,0.0,0.6723004694831832,0.29335040496613973
12,8.0,2.0,0.0,0.0,1.5999999999995822,8.507169698812387e-13
13,8.0,3.0,0.0,0.0,1.6300469483564146,0.21744721637300035
14,8.0,4.0,0.0,0.0,2.4000000000004165,8.515112474550045e-13
