,time,event
32,70.88,"[70.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1002, 0)]}"
33,77.68553378493351,"[77.68553378493351] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 6140b94c-2f98-41ef-8c68-61daf9e74153 | Model ID 1] <Jobs [2001]>, 'model_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db'), 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c')}"
34,77.68553378493351,"[77.68553378493351] [Event ID: 9] Tasks Arrival at Scheduler {'tasks': [[Job ID 2001, Task ID 2]]}"
35,77.68553378493351,"[77.68553378493351] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2001, Task ID 2]], 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('80bea652-1bba-48ea-b1b4-c0fe896c4b6c')}"
36,77.68553378493351,"[77.68553378493351] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(2001, 0)], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
37,77.68553378493351,"[77.68553378493351] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(2001, 1)], 'from_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
38,77.68553378493351,"[77.68553378493351] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 2001, Task ID 0]], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'ignore_transfer_time': False}"
39,77.68553378493351,"[77.68553378493351] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 2001, Task ID 1]], 'from_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'ignore_transfer_time': False}"
40,77.68553378493351,"[77.68553378493351] [Event ID: 8] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 2001, Task ID 0]], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
41,77.68553378493351,"[77.68553378493351] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 1, 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c')}"
42,79.0,"[79] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2, Workflow 6], 'from_client_id': UUID('192fa2ce-3239-4bfa-90e9-cff950c7f2d1'), 'ignore_transfer_time': False}"
43,79.2855337849335,"[79.2855337849335] [Event ID: 8] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 2001, Task ID 1]], 'from_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
44,79.2855337849335,"[79.2855337849335] [Event ID: 13] Batch Started at Worker {'batch': [Batch a8d0509a-fc6a-420d-9265-fc54d0557c7b | Model ID 2] <Jobs [2001]>, 'model_instance_id': UUID('80bea652-1bba-48ea-b1b4-c0fe896c4b6c'), 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
45,79.88,"[79.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2, Workflow 6]}"
46,79.88,"[79.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(2, 0)]}"
47,82.13733077978935,"[82.13733077978935] [Event ID: 11] Batch Finished at Worker {'batch': [Batch a8d0509a-fc6a-420d-9265-fc54d0557c7b | Model ID 2] <Jobs [2001]>, 'model_instance_id': UUID('80bea652-1bba-48ea-b1b4-c0fe896c4b6c'), 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
48,82.13733077978935,"[82.13733077978935] [Event ID: 9] Tasks Arrival at Scheduler {'tasks': [[Job ID 2001, Task ID 3]]}"
49,82.13733077978935,"[82.13733077978935] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2001, Task ID 3]], 'worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6'), 'force_instance_id': UUID('16289de6-7718-41ea-89dc-db95cea7bb46')}"
50,82.13733077978935,"[82.13733077978935] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(2001, 2)], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6')}"
51,82.13733077978935,"[82.13733077978935] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 2001, Task ID 2]], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6'), 'ignore_transfer_time': False}"
52,82.13733077978935,"[82.13733077978935] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 2, 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
53,83.73733077978935,"[83.73733077978935] [Event ID: 8] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 2001, Task ID 2]], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6')}"
54,83.73733077978935,"[83.73733077978935] [Event ID: 13] Batch Started at Worker {'batch': [Batch 9f8f164d-6c2d-4410-9872-e60620479849 | Model ID 3] <Jobs [2001]>, 'model_instance_id': UUID('16289de6-7718-41ea-89dc-db95cea7bb46'), 'worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6')}"
55,94.0,"[94] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1003, Workflow 7], 'from_client_id': UUID('94888226-aa1f-4f93-960e-9c24c4bd818c'), 'ignore_transfer_time': False}"
56,94.88,"[94.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1003, Workflow 7]}"
57,94.88,"[94.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1003, 0)]}"
58,108.0,"[108] [Event ID: 0] Job Sent to Scheduler {'job': [Job 3, Workflow 6], 'from_client_id': UUID('192fa2ce-3239-4bfa-90e9-cff950c7f2d1'), 'ignore_transfer_time': False}"
59,108.88,"[108.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 3, Workflow 6]}"
60,108.88,"[108.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(3, 0)]}"
61,109.1795398023157,"[109.1795398023157] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 9f8f164d-6c2d-4410-9872-e60620479849 | Model ID 3] <Jobs [2001]>, 'model_instance_id': UUID('16289de6-7718-41ea-89dc-db95cea7bb46'), 'worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6')}"
62,109.1795398023157,"[109.1795398023157] [Event ID: 9] Tasks Arrival at Scheduler {'tasks': [[Job ID 2001, Task ID 4]]}"
63,109.1795398023157,"[109.1795398023157] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2001, Task ID 4]], 'worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0'), 'force_instance_id': UUID('c9ff6628-349a-419f-acee-88ee190f7ecc')}"
64,109.1795398023157,"[109.1795398023157] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(2001, 3)], 'from_worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6'), 'to_worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
65,109.1795398023157,"[109.1795398023157] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 2001, Task ID 3]], 'from_worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6'), 'to_worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0'), 'ignore_transfer_time': False}"
66,109.1795398023157,"[109.1795398023157] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 3, 'worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6')}"
67,111.0,"[111] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2003, Workflow 8], 'from_client_id': UUID('730be90c-e30c-43fe-95ed-f5938044f043'), 'ignore_transfer_time': False}"
68,111.57953980231571,"[111.57953980231571] [Event ID: 8] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 2001, Task ID 3]], 'from_worker_id': UUID('cb1f35c2-f124-4f24-9205-9419b0529fc6'), 'to_worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
69,111.57953980231571,"[111.57953980231571] [Event ID: 13] Batch Started at Worker {'batch': [Batch efe2f313-e696-449f-8814-42db2d2540ec | Model ID 16] <Jobs [2001]>, 'model_instance_id': UUID('c9ff6628-349a-419f-acee-88ee190f7ecc'), 'worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
70,111.88,"[111.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2003, Workflow 8]}"
71,111.88,"[111.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(2003, 0)]}"
72,129.37279404067976,"[129.37279404067976] [Event ID: 11] Batch Finished at Worker {'batch': [Batch efe2f313-e696-449f-8814-42db2d2540ec | Model ID 16] <Jobs [2001]>, 'model_instance_id': UUID('c9ff6628-349a-419f-acee-88ee190f7ecc'), 'worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
73,129.37279404067976,"[129.37279404067976] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 16, 'worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
74,129.37279404067976,"[129.37279404067976] [Event ID: 14] Response Sent to Client {'job': [Job 2001, Workflow 8], 'ignore_transfer_time': False, 'client_id': UUID('730be90c-e30c-43fe-95ed-f5938044f043'), 'worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
75,129.45279404067978,"[129.45279404067978] [Event ID: 15] Response Received at Client {'job': [Job 2001, Workflow 8], 'client_id': UUID('730be90c-e30c-43fe-95ed-f5938044f043'), 'worker_id': UUID('83390a2b-b608-4bb2-b628-34e4f91075e0')}"
76,133.0,"[133] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1004, Workflow 7], 'from_client_id': UUID('94888226-aa1f-4f93-960e-9c24c4bd818c'), 'ignore_transfer_time': False}"
77,133.88,"[133.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1004, Workflow 7]}"
78,133.88,"[133.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1004, 0)]}"
79,139.0,"[139] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2004, Workflow 8], 'from_client_id': UUID('730be90c-e30c-43fe-95ed-f5938044f043'), 'ignore_transfer_time': False}"
80,139.88,"[139.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2004, Workflow 8]}"
81,139.88,"[139.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2004, Task ID 0]], 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b')}"
82,139.88,"[139.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2004, Task ID 1]], 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'force_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db')}"
83,139.88,"[139.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2004, Task ID 0]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'ignore_transfer_time': False}"
84,139.88,"[139.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2004, Task ID 1]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'force_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db'), 'ignore_transfer_time': False}"
85,139.96,"[139.96] [Event ID: 5] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2004, Task ID 0]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b')}"
86,139.96,"[139.96] [Event ID: 13] Batch Started at Worker {'batch': [Batch 651fec66-e682-462e-88da-a7e608987d3d | Model ID 0] <Jobs [2004]>, 'model_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
87,140.68,"[140.68] [Event ID: 5] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2004, Task ID 1]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'force_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db')}"
88,140.68,"[140.68] [Event ID: 13] Batch Started at Worker {'batch': [Batch 383fa9b4-b2c3-4987-8921-4f727d9f233d | Model ID 1] <Jobs [2004]>, 'model_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db'), 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c')}"
89,142.0,"[142] [Event ID: 0] Job Sent to Scheduler {'job': [Job 4, Workflow 6], 'from_client_id': UUID('192fa2ce-3239-4bfa-90e9-cff950c7f2d1'), 'ignore_transfer_time': False}"
90,142.88,"[142.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 4, Workflow 6]}"
91,142.88,"[142.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(4, 0)]}"
92,147.45368046185956,"[147.45368046185956] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 651fec66-e682-462e-88da-a7e608987d3d | Model ID 0] <Jobs [2004]>, 'model_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
93,147.45368046185956,"[147.45368046185956] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
94,160.0,"[160] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1005, Workflow 7], 'from_client_id': UUID('94888226-aa1f-4f93-960e-9c24c4bd818c'), 'ignore_transfer_time': False}"
95,160.88,"[160.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1005, Workflow 7]}"
96,160.88,"[160.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1005, 0)]}"
97,164.0,"[164] [Event ID: 0] Job Sent to Scheduler {'job': [Job 5, Workflow 6], 'from_client_id': UUID('192fa2ce-3239-4bfa-90e9-cff950c7f2d1'), 'ignore_transfer_time': False}"
98,164.88,"[164.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 5, Workflow 6]}"
99,164.88,"[164.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 5, Task ID 0]], 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b')}"
100,164.88,"[164.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 5, Task ID 1]], 'worker_id': UUID('680a745a-2a1e-4fde-a588-c08a1a52886c'), 'force_instance_id': UUID('0e2a99af-6b20-47a6-857d-2d40c8a33435')}"
101,164.88,"[164.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 5, Task ID 0]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'ignore_transfer_time': False}"
102,164.88,"[164.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 5, Task ID 1]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('680a745a-2a1e-4fde-a588-c08a1a52886c'), 'force_instance_id': UUID('0e2a99af-6b20-47a6-857d-2d40c8a33435'), 'ignore_transfer_time': False}"
103,164.96,"[164.96] [Event ID: 5] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 5, Task ID 0]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b')}"
104,164.96,"[164.96] [Event ID: 13] Batch Started at Worker {'batch': [Batch 41a54e4c-9044-453b-abe0-def07f4f17b9 | Model ID 0] <Jobs [5]>, 'model_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
105,165.68,"[165.68] [Event ID: 5] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 5, Task ID 1]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('680a745a-2a1e-4fde-a588-c08a1a52886c'), 'force_instance_id': UUID('0e2a99af-6b20-47a6-857d-2d40c8a33435')}"
106,165.68,"[165.68] [Event ID: 13] Batch Started at Worker {'batch': [Batch 47ba8d9d-12af-4fc7-9cf6-fe8254de48c4 | Model ID 1] <Jobs [5]>, 'model_instance_id': UUID('0e2a99af-6b20-47a6-857d-2d40c8a33435'), 'worker_id': UUID('680a745a-2a1e-4fde-a588-c08a1a52886c')}"
107,172.14771322171114,"[172.14771322171114] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 41a54e4c-9044-453b-abe0-def07f4f17b9 | Model ID 0] <Jobs [5]>, 'model_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
108,172.14771322171114,"[172.14771322171114] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
109,172.4655721533656,"[172.4655721533656] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 383fa9b4-b2c3-4987-8921-4f727d9f233d | Model ID 1] <Jobs [2004]>, 'model_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db'), 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c')}"
110,172.4655721533656,"[172.4655721533656] [Event ID: 9] Tasks Arrival at Scheduler {'tasks': [[Job ID 2004, Task ID 2]]}"
111,172.4655721533656,"[172.4655721533656] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2004, Task ID 2]], 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('80bea652-1bba-48ea-b1b4-c0fe896c4b6c')}"
112,172.4655721533656,"[172.4655721533656] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(2004, 0)], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
113,172.4655721533656,"[172.4655721533656] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(2004, 1)], 'from_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
114,172.4655721533656,"[172.4655721533656] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 2004, Task ID 0]], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'ignore_transfer_time': False}"
115,172.4655721533656,"[172.4655721533656] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 2004, Task ID 1]], 'from_worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'ignore_transfer_time': False}"
116,172.4655721533656,"[172.4655721533656] [Event ID: 8] Tasks Outputs Arrival at Worker {'tasks': [[Job ID 2004, Task ID 0]], 'from_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e')}"
117,172.4655721533656,"[172.4655721533656] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 1, 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c')}"
