,time,event
26,29.0,"[29] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2000, Workflow 8], 'from_client_id': UUID('ed14037b-c3ba-438a-8a5c-334351b29982'), 'ignore_transfer_time': True}"
27,29.0,"[29] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2000, Workflow 8]}"
28,29.0,"[29] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'tasks': [[Job ID 2000, Task ID 0]]}"
29,29.0,"[29] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'tasks': [[Job ID 2000, Task ID 1]]}"
30,29.0,"[29] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2000, Task ID 0]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'ignore_transfer_time': True}"
31,29.0,"[29] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2000, Task ID 1]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'ignore_transfer_time': True}"
32,29.0,"[29] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2000, Task ID 0]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
33,29.0,"[29] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2000, Task ID 1]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997')}"
34,29.0,"[29] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
35,29.0,"[29] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 1, 'worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997')}"
36,29.0,"[29] [Event ID: 13] Batch Started at Worker {'batch': [Batch d51d477d-e082-4d6e-9d78-1432cba54ecf | Model ID 1] <Jobs [2000]>, 'model_instance_id': UUID('2716e483-1aff-4323-b73a-4924f25fbb57'), 'worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997')}"
37,33.38559516680634,"[33.38559516680634] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 972446c0-6942-44d8-99b1-e89c23c63fb0 | Model ID 0] <Jobs [0]>, 'model_instance_id': UUID('e1db26d4-0cc8-4fdc-9639-ad042d1c3f8b'), 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
38,33.38559516680634,"[33.38559516680634] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
39,33.38559516680634,"[33.38559516680634] [Event ID: 13] Batch Started at Worker {'batch': [Batch de723321-8e1a-42e1-a02d-c073b756defa | Model ID 0] <Jobs [2000]>, 'model_instance_id': UUID('e1db26d4-0cc8-4fdc-9639-ad042d1c3f8b'), 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
40,40.89947228730242,"[40.89947228730242] [Event ID: 11] Batch Finished at Worker {'batch': [Batch de723321-8e1a-42e1-a02d-c073b756defa | Model ID 0] <Jobs [2000]>, 'model_instance_id': UUID('e1db26d4-0cc8-4fdc-9639-ad042d1c3f8b'), 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
41,40.89947228730242,"[40.89947228730242] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
42,49.77024004993443,"[49.77024004993443] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 961966db-d1f5-450b-b1ab-86a1e22166bf | Model ID 1] <Jobs [1000]>, 'model_instance_id': UUID('d60f38dd-e4c6-439a-a4c2-fe1f260be72e'), 'worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850')}"
43,49.77024004993443,"[49.77024004993443] [Event ID: 9] Tasks Arrival at Scheduler {'tasks': [[Job ID 1000, Task ID 2]]}"
44,49.77024004993443,"[49.77024004993443] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'tasks': [[Job ID 1000, Task ID 2]]}"
45,49.77024004993443,"[49.77024004993443] [Event ID: 5] Tasks Outputs Assigned to Worker {'job_task_ids': [(1000, 0)], 'from_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
46,49.77024004993443,"[49.77024004993443] [Event ID: 5] Tasks Outputs Assigned to Worker {'job_task_ids': [(1000, 1)], 'from_worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
47,49.77024004993443,"[49.77024004993443] [Event ID: 6] Tasks Outputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'ignore_transfer_time': True}"
