,client_id,workflow_id,job_id,was_completed,deadline,create_time,response_time
0,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,0,True,29,29,65.7521739236239
1,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,1,True,64,64,68.21625993517321
2,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,2,True,89,89,66.79227202979604
3,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,3,True,122,122,68.34524782017394
4,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,4,True,159,159,72.85476064283984
5,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,5,True,184,184,81.12152344740832
6,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,6,True,212,212,76.81427092910741
7,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,7,True,242,242,86.19510048338515
8,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,8,True,275,275,78.89439195504087
9,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,9,True,303,303,76.33339368775995
10,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,10,True,333,333,78.11671962886004
11,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,11,True,359,359,77.55278048876261
12,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,12,True,392,392,76.30208543540027
13,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,13,True,425,425,80.00961428084491
14,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,14,True,453,453,72.19141197614067
15,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,15,True,487,487,96.50827311143325
16,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,16,True,511,511,100.37986459983324
17,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,17,True,538,538,80.87242198530032
18,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,18,True,566,566,87.53341695586573
19,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,19,True,598,598,79.08982660389415
20,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,20,True,640,640,69.92946588357233
21,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,21,True,662,662,73.96435835260309
22,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,22,True,680,680,69.54581321849241
23,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,23,True,709,709,93.46327898835307
24,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,24,True,746,746,82.5112818874079
25,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,25,True,773,773,76.4880069563228
26,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,26,True,797,797,66.66177166569241
27,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,27,True,833,833,84.93161035042635
28,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,28,True,868,868,77.18563482703166
29,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,29,True,904,904,68.2779104942606
30,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,30,True,933,933,71.20936119960163
31,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,31,True,971,971,67.85673182183359
32,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,32,True,999,999,69.39707176898332
33,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,33,True,1027,1027,78.21947488702222
34,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,34,True,1062,1062,74.76168017546411
35,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,35,True,1101,1101,70.03985322349672
36,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,36,True,1124,1124,74.26331345309768
37,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,37,True,1160,1160,78.98270306897393
38,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,38,True,1196,1196,71.57275223245233
39,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,39,True,1228,1228,66.59683774368386
40,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,40,True,1256,1256,62.92719062267406
41,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,41,True,1296,1296,74.6695121388118
42,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,42,True,1326,1326,86.39287630807803
43,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,43,True,1352,1352,68.08934733619412
44,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,44,True,1380,1380,87.64510105933527
45,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,45,True,1413,1413,68.13861702338022
46,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,46,True,1450,1450,81.60356063311133
47,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,47,True,1489,1489,102.46193556174808
48,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,48,True,1517,1517,83.38452099513665
49,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,49,True,1543,1543,86.35903660499162
50,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,50,True,1573,1573,97.15442007362776
51,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,51,True,1596,1596,90.39554033803302
52,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,52,True,1639,1639,83.99625464987889
53,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,53,True,1670,1670,78.93276465270219
54,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,54,True,1699,1699,88.37101911853142
55,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,55,True,1745,1745,98.9674112700668
56,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,56,True,1776,1776,83.97857891223407
57,ea4b12f5-f1b3-4aeb-a6f7-e44821e92ba8,6,57,True,1803,1803,70.55401947719679
