,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
9975,98015.40418106463,0,1,588,1,5,5eedaab4-7888-4fea-a923-8332aeace419
9976,98017.0,1,4,1587,0,4,N/A
9977,98017.0,1,4,1587,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9978,98035.0,2,5,2587,0,10,N/A
9979,98035.0,2,5,2587,0,10,e4d3d585-a08b-4176-b890-887bf3a159dd
9980,98035.28702039446,2,5,2584,3,13,5eedaab4-7888-4fea-a923-8332aeace419
9981,98039.51102350531,0,1,588,2,6,3dd73662-1806-472f-a545-fc116a47426b
9982,98056.61009156088,0,1,588,3,7,13a2150b-02d6-472f-85f1-f71246971900
9983,98102.30755262366,1,4,1587,1,5,8406749d-4540-46e6-b1f4-c6a012c716a2
9984,98110.0,0,1,589,0,4,N/A
9985,98110.0,0,1,589,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9986,98121.22711188646,1,4,1587,2,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9987,98121.22711188646,1,4,1587,3,8,56d81456-9af2-4925-9c09-e3b32c4a0014
9988,98128.1982493923,1,4,1587,4,9,3c2d48b8-8f23-4865-8774-4a9f10ba1e05
9989,98167.22600860272,2,5,2586,1,6,3dd73662-1806-472f-a545-fc116a47426b
9990,98167.22600860272,2,5,2586,2,7,f8160c4a-bbf6-4b49-90c7-4dc9d45d9872
9991,98170.0803954381,0,1,589,1,5,5eedaab4-7888-4fea-a923-8332aeace419
9992,98183.54727523155,0,1,589,2,6,0a3d0c58-d2a1-4f01-b0f0-01b40659883b
9993,98185.2329951628,2,5,2587,1,6,3dd73662-1806-472f-a545-fc116a47426b
9994,98185.2329951628,2,5,2587,2,7,c9fa16a1-defd-4e24-9ce2-c1268ad89fe5
9995,98186.1505292016,2,5,2585,3,13,8406749d-4540-46e6-b1f4-c6a012c716a2
9996,98196.0,1,4,1588,0,4,N/A
9997,98196.0,1,4,1588,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
9998,98196.3504644801,0,1,589,3,7,13a2150b-02d6-472f-85f1-f71246971900
9999,98214.0,2,5,2588,0,10,N/A
10000,98214.0,2,5,2588,0,10,c4d30654-b73c-43b9-a319-fdc0ad527c7c
10001,98232.94370599987,1,4,1571,5,7,a838135a-2359-4381-87e5-eba108e615ac
10002,98241.75545621173,2,5,2586,3,13,5eedaab4-7888-4fea-a923-8332aeace419
10003,98259.2182015355,1,4,1584,5,7,a838135a-2359-4381-87e5-eba108e615ac
10004,98266.0,0,1,590,0,4,N/A
10005,98266.0,0,1,590,0,4,d7feae79-d6c3-4043-8c23-c79c424b946f
10006,98270.70949219583,1,4,1588,1,5,8406749d-4540-46e6-b1f4-c6a012c716a2
10007,98284.15618383551,1,4,1588,2,6,3dd73662-1806-472f-a545-fc116a47426b
10008,98284.15618383551,1,4,1588,3,8,08af4180-eec5-4832-8762-6ce42d1f6ccf
10009,98290.33357409191,1,4,1588,4,9,4f102c7b-d685-4a4f-baba-8a443e851f93
