,worker_id,worker_creation_timestamp,instance_id,model_id,instance_loaded_timestamp,worker_mem_size_gb
0,117c282e-714f-44eb-96b2-1f3a4020138f,0,6c412a35-6006-4306-bbc7-dc978c4ac9d5,1,0,24
1,6b6257b2-8839-4f9d-abfe-9898e6499d37,0,13c3edf4-4f40-42db-83f2-749225d0ff08,1,0,24
2,ddc70988-4660-4ec4-81dd-a3b26be172b4,0,59cbd892-3468-4720-9564-aa596f0f4ddc,1,0,24
3,123f6681-0604-442f-b81b-c9b309b8d47e,0,392883d9-6865-4068-821d-9cd79f840533,3,0,6
4,f026cfe8-461b-40c7-aad3-10869bc29d09,0,b2be8021-427c-4242-8855-8f96715162a1,3,0,6
5,92d34b2f-010a-494a-985a-7a412c880697,0,d9cd2b6e-7714-4478-949b-e1c3d4743cee,3,0,6
6,14f4db81-7058-4b76-8ac5-76fa2b306f75,0,8af160ad-1588-4489-b415-9e8d8eea6ec6,0,0,6
7,14f4db81-7058-4b76-8ac5-76fa2b306f75,0,f2c989c7-705a-445f-a1eb-ad6654a242fc,2,0,6
8,dbd206d5-d6dd-4f39-b46c-e6e3a41aa943,0,4d998b08-0307-43ec-bdb3-4eef17983bcc,14,0,6
9,c2cc2434-4e58-4a1b-baaf-0fac4dd7c49f,0,c7a364f9-b7b9-4359-8e08-23040d56955d,15,0,6
10,ba1694af-ed0a-4f24-a7b7-ad69960a15c9,0,8dc12887-d20b-4910-8c24-859d7cd3c1c1,16,0,6
