,time,workflow_id,task_id,slo,bsize
0,1001.4000000000007,6.0,0.0,15.0,4.0
1,1001.4000000000007,6.0,1.0,170.0,7.0
2,1001.4000000000007,6.0,2.0,35.0,8.0
3,1001.4000000000007,6.0,3.0,90.0,4.0
4,1001.4000000000007,6.0,4.0,10.0,32.0
5,1015.6000000000007,8.0,0.0,15.0,4.0
6,1015.6000000000007,8.0,1.0,270.0,12.0
7,1015.6000000000007,8.0,2.0,35.0,8.0
8,1015.6000000000007,8.0,3.0,70.0,3.0
9,1015.6000000000007,8.0,4.0,25.0,26.0
10,1024.4000000000008,7.0,0.0,15.0,4.0
11,1024.4000000000008,7.0,1.0,190.0,8.0
12,1024.4000000000008,7.0,2.0,35.0,8.0
13,1024.4000000000008,7.0,3.0,90.0,4.0
14,1024.4000000000008,7.0,4.0,20.0,32.0
