,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,2.357483854862903,2.4563680701089234,0.0,0.0
1,6.0,1.0,75.6023639158919,45.97108609564194,0.0,0.0
2,6.0,2.0,22.38356941385978,31.311852727148054,0.0,0.0
3,6.0,3.0,25.68646909442102,23.436522958519994,0.0,0.0
4,6.0,4.0,0.1471260920361933,0.5147061159236282,0.0,0.0
5,7.0,0.0,0.0,0.0,0.0,0.0
6,7.0,1.0,,,,
7,7.0,2.0,76.09676579721071,45.72874174748742,0.0,0.0
8,7.0,3.0,21.701572119812422,29.267815588041834,0.0,0.0
9,7.0,4.0,25.91580428012487,23.837928134453115,0.0,0.0
10,8.0,0.0,0.8600947845109405,1.9354422954987092,0.0,0.0
11,8.0,1.0,,,,
12,8.0,2.0,73.90493686417517,45.84284254409328,0.0,0.0
13,8.0,3.0,20.856513154223503,28.231588819021084,0.0,0.0
14,8.0,4.0,24.13713436673946,23.433658507784642,0.0,0.0
