,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,1.8780711823969691,2.317087017596497,0.0,0.0
1,6.0,1.0,25.669812746688198,15.921112778237427,0.0,0.0
2,6.0,2.0,5.926330995862054,9.922874073610371,0.0,0.0
3,6.0,3.0,11.23068607963012,13.149855760829654,0.0,0.0
4,6.0,4.0,0.12902778957843913,0.4436841277517159,0.0,0.0
5,7.0,0.0,1.8063973781444471,2.271475382965423,0.0,0.0
6,7.0,1.0,26.604324404215845,15.644139227124173,0.0,0.0
7,7.0,2.0,6.023429083781149,9.440734544072313,0.0,0.0
8,7.0,3.0,11.008024705488355,12.491895139788735,0.0,0.0
9,7.0,4.0,1.373280736221473,2.922215003964045,0.0,0.0
10,8.0,0.0,1.8714826266457203,2.3848122744635205,0.0,0.0
11,8.0,1.0,26.897152904278382,16.022135265902925,0.0,0.0
12,8.0,2.0,5.916243188103965,9.706142532931596,0.0,0.0
13,8.0,3.0,11.12460303273148,12.785333563188416,0.0,0.0
14,8.0,4.0,5.135257927144414,7.0657269162256044,0.0,0.0
