,time,worker_id,model_id,queue_size
0,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,0,0
1,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,0,0
2,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,0,0
3,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,1,2
4,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,1,2
5,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,1,2
6,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,2,0
7,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,2,0
8,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,2,0
9,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,3,0
10,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,3,0
11,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,3,0
12,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,14,0
13,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,15,0
14,500,c4df44dc-da25-40e6-8129-7038c5cb0d4c,16,0
15,500,7d504677-6757-4b72-8b23-8de24b8f06cb,0,0
16,500,7d504677-6757-4b72-8b23-8de24b8f06cb,0,0
17,500,7d504677-6757-4b72-8b23-8de24b8f06cb,0,0
18,500,7d504677-6757-4b72-8b23-8de24b8f06cb,1,1
19,500,7d504677-6757-4b72-8b23-8de24b8f06cb,1,1
20,500,7d504677-6757-4b72-8b23-8de24b8f06cb,1,1
21,500,7d504677-6757-4b72-8b23-8de24b8f06cb,2,0
22,500,7d504677-6757-4b72-8b23-8de24b8f06cb,2,0
23,500,7d504677-6757-4b72-8b23-8de24b8f06cb,2,0
24,500,7d504677-6757-4b72-8b23-8de24b8f06cb,3,0
25,500,7d504677-6757-4b72-8b23-8de24b8f06cb,3,0
26,500,7d504677-6757-4b72-8b23-8de24b8f06cb,3,0
27,500,7d504677-6757-4b72-8b23-8de24b8f06cb,14,0
28,500,7d504677-6757-4b72-8b23-8de24b8f06cb,15,0
