,time,workflow_id,task_id,slo,bsize
0,1002.4000000000005,7.0,0.0,15.0,4.0
1,1002.4000000000005,7.0,1.0,80.0,3.0
2,1002.4000000000005,7.0,2.0,15.0,3.0
3,1002.4000000000005,7.0,3.0,25.0,1.0
4,1002.4000000000005,7.0,4.0,20.0,11.0
5,1012.4000000000005,8.0,0.0,15.0,4.0
6,1012.4000000000005,8.0,1.0,80.0,3.0
7,1012.4000000000005,8.0,2.0,15.0,3.0
8,1012.4000000000005,8.0,3.0,25.0,1.0
9,1012.4000000000005,8.0,4.0,40.0,11.0
10,1026.6000000000006,6.0,0.0,15.0,4.0
11,1026.6000000000006,6.0,1.0,80.0,3.0
12,1026.6000000000006,6.0,2.0,10.0,2.0
13,1026.6000000000006,6.0,3.0,25.0,1.0
14,1026.6000000000006,6.0,4.0,5.0,16.0
