,worker_id,instance_id,model_id,idle_time_s,idle_percent_worker_lifetime,mean_batch_size,std_batch_size
0,b7c1bd9b-f8d4-4f7a-a75e-090648dba3f5,fff70645-3683-4ffa-8450-f77827a323ec,7,205961.76405406895,82.12653636406158,1.0,0.0
1,511429e2-fedd-4328-90d2-d4761f110f53,bd48dfc0-adcb-4ce1-a202-58aa33d44446,4,119645.5590693467,47.708250134853394,1.0,0.0
2,65cbe206-7a2f-4da9-af78-43fb6cc700a3,5b0a677f-f59f-4d77-81d2-371d04ce8a70,9,45688.84410151882,18.218267520520374,1.0,0.0
3,8659999c-246d-4c1c-be0c-aa70d886f03d,6e8eca77-21f6-44e3-97ed-9ec46fcfb4eb,9,67922.1089556869,27.08370447637351,1.0,0.0
4,ab3e5aff-70be-4054-b563-3b928ba1c9d3,fb7fe955-bbe5-42ba-81b6-9993886dc370,13,248347.44391683812,99.02767864429256,1.0,0.0
5,34da8968-a4f7-4224-bd8c-801636862c73,c3f5661e-4260-4221-bcc4-d738daee67c8,9,198932.90894651532,79.32380486076816,1.0,0.0
6,6b451dd4-fe9c-4489-a235-fe668f48b6ad,302becec-6cab-4ada-acfe-0f84a27f7f47,7,107477.97731415143,42.8564692712053,1.0,0.0
7,a8326370-c475-4fed-8653-cb7765dda32e,3748b208-f238-4d16-b580-1d20789a2366,6,178471.11471700622,71.16473564915191,1.0,0.0
8,5d29979a-df49-4478-8177-470f3982026e,bf20a54e-a4e7-45d6-82dc-57772037cad6,8,243014.48878516594,96.90118135213397,1.0,0.0
9,65d122eb-da80-4cd2-81c8-53d78781f113,00465563-9976-4c39-8d52-8ceec22ad820,5,215702.37090562037,86.01056943435495,1.0,0.0
10,d3abecc4-9c58-4f28-853e-4ef0cdd3619e,85366841-2c06-4860-9d88-d75d4b05d167,6,236049.94024327633,94.12409186801685,1.0,0.0
11,48c67e6a-d74c-498c-b8c2-0dac5c72309d,fd7ab691-4b35-4251-8048-ca318f9f94e0,10,235793.59515835455,94.02187515786548,1.0,0.0
12,44f95288-8bac-43a5-825f-4c999ff5a32c,025ed462-85b2-47bc-953f-2cb583d6f4aa,7,77162.26070955233,30.7681828187908,1.0,0.0
13,65d122eb-da80-4cd2-81c8-53d78781f113,9ecf20f4-5d51-4a1b-b1cd-8ab624cb044e,13,247879.74762819277,98.84118637747218,1.0,0.0
14,effe57a4-8689-4d96-a1e8-34608319faf8,11cee8cd-9eb9-4f56-90c0-155fa858a081,10,86883.81265607716,34.64461781204416,1.0,0.0
15,e926a544-719a-434d-9ce5-846eba827bf6,755b2609-fec3-4cee-a2bf-1fe95bedeee8,7,152899.70057580047,60.96822328680441,1.0,0.0
16,78fe616d-4316-4af1-8afb-573597764aa9,ac7b84bf-5036-462e-8cbf-d9c3339f3add,9,115570.6626060142,46.08339935678467,1.0,0.0
17,749bc631-d83a-45fa-ac67-31417333ccc8,2f48182d-42a2-41a7-8af5-f684942b7715,10,166864.6608944227,66.53670259507507,1.0,0.0
