,workflow_id,task_id,mean_queueing_time,std_queueing_time,mean_dispatch_time,std_dispatch_time
0,6.0,0.0,0.0,0.0,0.0959200000004107,0.03195582536498908
1,6.0,1.0,0.0,0.0,4.58800000000002,4.129381041728643
2,6.0,2.0,0.014285714285714488,0.15084642673487822,5.007142857142853,1.725135429048789
3,6.0,3.0,0.0,0.0,4.392546583850766,1.5623521048019728
4,6.0,4.0,0.0,0.0,2.400000000000356,8.340928003846155e-13
5,7.0,0.0,0.0,0.0,0.09640000000043708,0.032312289984856975
6,7.0,1.0,0.0,0.0,4.623200000000013,4.153002430674614
7,7.0,2.0,0.034408602150547904,0.3573970517333709,5.069534050179261,1.6259264535857578
8,7.0,3.0,0.0,0.0,4.329411764705785,1.3585408163950918
9,7.0,4.0,0.0,0.0,2.4000000000001847,7.431172632186867e-13
10,8.0,0.0,0.0,0.0,0.09696000000040923,0.0327143489712124
11,8.0,1.0,0.0,0.0,4.519200000000021,4.161296402294344
12,8.0,2.0,0.0044077134986226525,0.0839782209730377,4.561983471074351,1.8652354374973155
13,8.0,3.0,0.0,0.0,3.630976430976275,1.633305197348604
14,8.0,4.0,0.0,0.0,2.4774193548389705,0.42576353406470063
