,client_id,job_id,workflow_id,task_id,drop_time,create_time,arrival_time,slo,deadline
2695,1,7362,7,1,59071.199999997596,58981.39999999761,58988.599999997605,80,59068.599999997605
2696,2,12371,8,1,59106.9999999976,59014.19999999761,59021.39999999761,80,59101.39999999761
2697,1,7364,7,1,59124.77640728963,59035.7999999976,59042.9999999976,80,59122.9999999976
2698,0,2363,6,2,59125.028853507116,59071.599999997605,59112.192371971694,10,59122.192371971694
2699,0,2365,6,2,59183.59999999759,59121.9999999976,59172.224883859635,10,59182.224883859635
2700,1,7367,7,1,59194.554126446186,59102.39999999759,59109.59999999759,80,59189.59999999759
2701,1,7371,7,1,59294.19999999757,59188.19999999758,59195.39999999758,80,59275.39999999758
2702,2,12379,8,1,59312.599999997576,59222.79999999759,59229.999999997584,80,59309.999999997584
2703,1,7373,7,3,59344.05496543631,59238.599999997576,59309.47290357724,25,59334.47290357724
2704,0,2370,6,3,59368.92994789898,59245.999999997584,59330.48592549578,25,59355.48592549578
2705,2,12380,8,3,59372.39841589828,59248.999999997584,59322.5627758349,25,59347.5627758349
2706,0,2372,6,1,59387.19999999757,59295.39999999758,59302.599999997576,80,59382.599999997576
2707,1,7377,7,1,59441.39999999755,59341.399999997564,59348.59999999756,80,59428.59999999756
2708,0,2374,6,2,59454.528979041635,59360.79999999757,59443.441013667485,10,59453.441013667485
2709,0,2375,6,2,59468.41552474147,59389.99999999757,59455.965227625515,10,59465.965227625515
2710,1,7378,7,2,59471.685066359234,59366.59999999756,59455.965227625515,15,59470.965227625515
2711,0,2376,6,1,59496.79999999754,59405.19999999757,59412.399999997564,80,59492.399999997564
2712,2,12388,8,1,59541.908949263445,59449.59999999756,59456.79999999756,80,59536.79999999756
2713,0,2382,6,0,59587.79999999754,59563.39999999755,59570.59999999755,15,59585.59999999755
2714,0,2380,6,1,59610.67076426348,59511.999999997555,59519.19999999755,80,59599.19999999755
2715,0,2379,6,3,59619.95340153963,59492.79999999756,59583.14301226671,25,59608.14301226671
2716,2,12391,8,1,59628.52733413032,59536.19999999755,59543.39999999755,80,59623.39999999755
2717,1,7388,7,1,59695.02480579631,59595.59999999753,59602.79999999753,80,59682.79999999753
2718,2,12394,8,3,59717.87956048891,59609.79999999754,59682.56916188342,25,59707.56916188342
2719,2,12395,8,1,59728.799999997515,59636.99999999754,59644.19999999754,80,59724.19999999754
2720,0,2386,6,1,59767.87499188294,59658.19999999754,59665.399999997535,80,59745.399999997535
2721,2,12398,8,3,59816.71628122483,59703.59999999753,59783.315000805305,25,59808.315000805305
2722,2,12402,8,0,59838.7999999975,59813.39999999752,59820.59999999752,15,59835.59999999752
2723,0,2389,6,1,59839.799999997515,59739.79999999753,59746.999999997526,80,59826.999999997526
2724,0,2388,6,3,59843.969777993974,59713.59999999753,59805.91513835431,25,59830.91513835431
2725,0,2390,6,2,59863.92280600866,59763.999999997526,59852.35825838842,10,59862.35825838842
2726,0,2391,6,2,59863.92280600866,59783.19999999752,59852.35825838842,10,59862.35825838842
2727,2,12401,8,1,59879.80510652128,59786.19999999752,59793.39999999752,80,59873.39999999752
2728,0,2392,6,2,59899.86896161954,59808.39999999752,59884.472040589746,10,59894.472040589746
2729,1,7397,7,1,59910.39999999749,59808.399999997506,59815.5999999975,80,59895.5999999975
2730,0,2393,6,2,59925.29725364542,59832.59999999752,59914.89746008899,10,59924.89746008899
2731,2,12405,8,1,59973.7999999975,59878.99999999751,59886.19999999751,80,59966.19999999751
2732,0,2395,6,3,59983.28197639596,59880.99999999751,59948.43544586232,25,59973.43544586232
2733,0,2397,6,2,60017.199999997494,59940.399999997506,60006.507066460785,10,60016.507066460785
2734,2,12412,8,0,60077.35472270208,60053.39999999749,60060.59999999749,15,60075.59999999749
2735,0,2399,6,2,60079.599999997474,59995.7999999975,60067.711863445635,10,60077.711863445635
2736,0,2400,6,2,60112.47982282656,60022.9999999975,60100.2923438577,10,60110.2923438577
2737,2,12411,8,1,60129.449447936146,60028.199999997494,60035.39999999749,80,60115.39999999749
2738,2,12414,8,2,60178.54523263594,60102.799999997485,60161.10635114535,15,60176.10635114535
2739,1,7407,7,1,60180.939570128074,60072.39999999748,60079.599999997474,80,60159.599999997474
2740,0,2401,6,3,60190.478577997696,60049.199999997494,60135.75977697109,25,60160.75977697109
2741,0,2403,6,1,60193.74393050781,60100.59999999749,60107.799999997485,80,60187.799999997485
2742,0,2404,6,2,60195.1922556274,60118.799999997485,60182.53957012807,10,60192.53957012807
2743,2,12413,8,3,60196.7922556274,60081.59999999749,60138.229017618854,25,60163.229017618854
2744,1,7411,7,2,60273.89800009624,60177.199999997465,60257.773736395415,15,60272.773736395415
2745,0,2407,6,2,60285.833056858515,60198.39999999748,60273.89800009624,10,60283.89800009624
2746,2,12418,8,3,60333.05607779638,60206.599999997474,60300.17795539895,25,60325.17795539895
2747,2,12419,8,1,60337.799999997456,60232.79999999747,60239.99999999747,80,60319.99999999747
2748,0,2410,6,1,60363.28418865954,60268.99999999747,60276.199999997465,80,60356.199999997465
2749,2,12424,8,1,60439.811145566804,60350.799999997456,60357.99999999745,80,60437.99999999745
2750,1,7417,7,1,60441.39999999743,60341.39999999745,60348.599999997445,80,60428.599999997445
2751,2,12423,8,3,60460.75921029674,60330.59999999746,60417.92970824247,25,60442.92970824247
2752,1,7419,7,2,60467.79999999744,60381.79999999744,60452.62813171413,15,60467.62813171413
2753,0,2415,6,1,60488.99999999744,60389.99999999745,60397.19999999745,80,60477.19999999745
2754,2,12428,8,1,60530.9492502134,60443.599999997445,60450.79999999744,80,60530.79999999744
2755,0,2417,6,1,60541.5213492745,60437.39999999745,60444.599999997445,80,60524.599999997445
2756,0,2419,6,2,60557.39999999742,60481.79999999744,60543.1213492745,10,60553.1213492745
2757,1,7422,7,2,60562.2502855167,60458.39999999743,60545.426969332504,15,60560.426969332504
2758,1,7421,7,3,60572.92729453471,60434.199999997436,60515.75412461051,25,60540.75412461051
2759,1,7423,7,1,60575.57387966985,60477.59999999743,60484.79999999743,80,60564.79999999743
2760,1,7427,7,1,60658.39999999742,60570.39999999742,60577.599999997416,80,60657.599999997416
2761,0,2422,6,3,60673.9190109246,60562.39999999743,60640.0253725192,25,60665.0253725192
2762,0,2423,6,1,60680.599999997416,60585.59999999743,60592.79999999743,80,60672.79999999743
2763,1,7426,7,3,60688.79591219782,60550.19999999742,60649.809308516844,25,60674.809308516844
2764,0,2425,6,2,60700.24368197914,60627.999999997424,60689.336963741174,10,60699.336963741174
2765,2,12433,8,3,60701.84368197914,60567.59999999743,60656.030196318854,25,60681.030196318854
2766,1,7429,7,1,60711.4183610965,60615.79999999741,60622.99999999741,80,60702.99999999741
2767,0,2427,6,1,60762.46546620815,60670.39999999742,60677.599999997416,80,60757.599999997416
2768,2,12438,8,1,60789.5999999974,60691.599999997416,60698.79999999741,80,60778.79999999741
2769,0,2429,6,2,60820.7999999974,60727.79999999741,60809.271882614135,10,60819.271882614135
2770,0,2430,6,1,60850.79999999738,60749.99999999741,60757.19999999741,80,60837.19999999741
2771,0,2432,6,1,60885.25859093733,60788.399999997404,60795.5999999974,80,60875.5999999974
2772,2,12442,8,2,60886.85859093733,60782.399999997404,60867.9191527609,15,60882.9191527609
2773,2,12443,8,1,60895.083511115125,60803.5999999974,60810.7999999974,80,60890.7999999974
2774,2,12444,8,2,60913.59999999739,60830.7999999974,60896.68351111512,15,60911.68351111512
2775,0,2435,6,1,60944.666222287175,60856.999999997395,60864.19999999739,80,60944.19999999739
2776,1,7439,7,1,60953.18731603676,60858.79999999738,60865.99999999738,80,60945.99999999738
2777,2,12445,8,3,60976.8312097503,60855.999999997395,60932.85593582798,25,60957.85593582798
2778,0,2436,6,3,60985.25523965369,60882.19999999739,60952.14000898647,25,60977.14000898647
2779,0,2437,6,2,61007.113240722385,60906.39999999739,60993.124924588905,10,61003.124924588905
2780,2,12448,8,1,61019.877919205006,60928.59999999739,60935.79999999738,80,61015.79999999738
2781,0,2440,6,2,61063.25078738414,60976.99999999738,61052.95869707402,10,61062.95869707402
2782,0,2441,6,1,61100.10727696029,61006.19999999738,61013.399999997375,80,61093.399999997375
2783,1,7445,7,1,61107.93938014105,61014.999999997366,61022.19999999736,80,61102.19999999736
2784,2,12452,8,1,61126.39999999736,61027.399999997375,61034.59999999737,80,61114.59999999737
2785,0,2444,6,2,61153.16173342386,61072.79999999737,61142.94979927052,10,61152.94979927052
2786,2,12453,8,2,61160.327550503156,61052.59999999737,61142.94979927052,15,61157.94979927052
2787,2,12455,8,1,61189.54265700022,61097.999999997366,61105.19999999736,80,61185.19999999736
2788,1,7450,7,1,61229.6050056353,61138.99999999735,61146.19999999735,80,61226.19999999735
2789,0,2447,6,1,61233.469147453194,61141.39999999736,61148.59999999736,80,61228.59999999736
2790,2,12457,8,3,61267.77577613021,61146.39999999736,61226.12736803113,25,61251.12736803113
2791,0,2448,6,3,61269.46445421083,61162.59999999736,61237.36399746369,25,61262.36399746369
2792,0,2449,6,1,61274.79999999734,61183.799999997354,61190.99999999735,80,61270.99999999735
2793,2,12459,8,1,61284.252711224566,61191.799999997354,61198.99999999735,80,61278.99999999735
2794,0,2450,6,2,61299.39999999733,61199.99999999735,61286.602122145414,10,61296.602122145414
2795,1,7451,7,3,61301.13210008539,61167.19999999735,61240.500342980995,25,61265.500342980995
2796,2,12460,8,2,61303.72049835282,61216.99999999735,61286.602122145414,15,61301.602122145414
2797,2,12461,8,1,61326.216296582024,61234.19999999735,61241.399999997346,80,61321.399999997346
2798,0,2452,6,2,61330.48062318179,61241.399999997346,61319.36943771841,10,61329.36943771841
2799,2,12463,8,2,61375.99999999732,61276.59999999734,61357.47354403988,15,61372.47354403988
2800,0,2454,6,1,61380.432355683086,61288.79999999734,61295.99999999734,80,61375.99999999734
2801,1,7456,7,1,61382.68498498716,61292.199999997334,61299.39999999733,80,61379.39999999733
2802,2,12464,8,1,61405.799999997325,61302.79999999734,61309.99999999734,80,61389.99999999734
2803,1,7458,7,2,61432.99999999732,61346.59999999733,61416.38707752833,15,61431.38707752833
2804,1,7460,7,2,61493.53504817333,61389.99999999732,61474.62431366405,15,61489.62431366405
2805,0,2459,6,2,61493.53504817333,61417.799999997325,61479.11016332548,10,61489.11016332548
2806,0,2458,6,1,61498.99999999731,61390.59999999733,61397.799999997325,80,61477.799999997325
2807,1,7461,7,1,61502.23189113057,61414.19999999732,61421.39999999732,80,61501.39999999732
2808,0,2460,6,2,61516.577466859024,61438.99999999732,61503.83189113057,10,61513.83189113057
2809,0,2461,6,1,61554.31684409243,61466.19999999732,61473.39999999732,80,61553.39999999732
2810,1,7463,7,2,61555.916844092426,61465.599999997314,61538.7635567065,15,61553.7635567065
2811,1,7466,7,1,61629.597617053245,61536.199999997305,61543.3999999973,80,61623.3999999973
2812,2,12474,8,1,61632.1704595901,61540.79999999731,61547.99999999731,80,61627.99999999731
2813,2,12476,8,2,61681.99999999729,61592.199999997305,61666.20243522424,15,61681.20243522424
2814,2,12477,8,1,61712.39999999729,61621.3999999973,61628.5999999973,80,61708.5999999973
2815,1,7469,7,1,61713.19999999729,61606.799999997296,61613.99999999729,80,61693.99999999729
2816,1,7473,7,0,61739.17002472049,61709.599999997285,61716.79999999728,15,61731.79999999728
2817,0,2468,6,1,61743.99999999728,61637.5999999973,61644.799999997296,80,61724.799999997296
2818,0,2470,6,2,61763.203003168965,61686.99999999729,61748.912865632214,10,61758.912865632214
2819,1,7471,7,3,61777.26553618811,61650.19999999729,61728.21038415004,25,61753.21038415004
2820,2,12479,8,3,61785.821285742444,61674.799999997296,61745.70549997216,25,61770.70549997216
2821,2,12480,8,2,61789.99999999728,61705.99999999729,61770.19818777343,15,61785.19818777343
2822,2,12482,8,1,61833.22174820508,61744.39999999729,61751.599999997285,80,61831.599999997285
2823,0,2476,6,2,61914.945173102686,61842.199999997276,61901.1489172231,10,61911.1489172231
2824,2,12486,8,1,61926.17210602554,61836.199999997276,61843.39999999727,80,61923.39999999727
2825,0,2479,6,2,61993.607562572026,61915.79999999727,61981.74415069274,10,61991.74415069274
2826,2,12492,8,1,62079.539177432445,61983.39999999726,61990.599999997256,80,62070.599999997256
